levels(as.factor(full_data$species))

Astrodictyum panamense
Astrometis sertulifera
Astrononion hamadaense
Astropecten armatus
Astropecten armatus erinaceus
Astropecten brasiliensis armatus
Astropecten cingulatus
Astropecten erinaceus
Astropecten ornatissimus
Astropecten regalis
Astropyga pulvinata
Astropyga radiata
Astroscopus zephyreus
Atamisquea emarginata
Athene cunicularia
Atherinella crystallina
Atherinella eriarcha
Atherinella nepenthe
Atherinella nocturna
Atherinops affinis
Atherinops affinis magdalenae
Atherinopsis californiensis
Athorybia rosacea
Athyonidium deichmannae
Atlanta echinogyra
Atlanta lesueurii
Atlanta peronii
Atlanta turriculata
Atractoscion nobilis
Atrimitra effusa
Atrimitra idae
Atrina (Atrina) tuberculosa
Atrina (Servatrina) maura
Atrina (Servatrina) texta
Atrina maura
Atrina texta
Atriplex barclayana
Atriplex canescens
Atriplex leucophylla
Atriplex linearis
Atriplex muricata
Atriplex pacifica
Atta mexicana
Attalea cohune
Attalea guacuyule
Attila spadiceus
Atys liriope
Augaptilus longicaudatus
Aulacodiscus beeveriae
Aulacodiscus margaritaceus
Aulacoseira granulata
Auliscus caelatus
Auliscus intercedens
Aulopus bajacali
Aulospongus cerebella
Aulostomus chinensis
Aulostomus maculatus
Aurelia hyalina
Aurelia labiata
Aureococcus anophagefferens
Auricularia fuscosuccinea
Auricularia polytricha
Auriparus flaviceps
Austrotrophon cerrosensis
Autolytus prolifer
Automeris excreta
Auxis brachydorax
Auxis eudorax
Auxis rochei
Auxis thazard
Auxis thazard brachydorax
Avicennia germinans
Avocettina bowersii
Avocettina infans
Awaous banana
Awaous transandeanus
Axelella campbelli
Axinactis delessertii
Axinella nayaritensis
Axion plagiatum
Axiothella rubrocincta
Axoclinus amaenus
Axoclinus amoenus
Axoclinus carminalis
Axoclinus cocoensis
Axoclinus lucillae
Axoclinus multicinctus
Axoclinus nigricaudus
Axoclinus storeyae
Axoclinus walkeri
Ayenia compacta
Ayenia jaliscana
Aythya affinis
Aythya americana
Aythya collaris
Aythya marila
Azadinium caudatum
Azadirachta indica
Azpeitia africana
Azpeitia neocrenulata
Azpeitia nodulifera
Azurina atrilobata
Azurina hirundo
Babelomurex hindsii
Bacidina medialis
Bacillaria interrupta
Bacillaria paxillifer
Bacillaria socialis
Bacillaria ulna
Bacteriastrum comosum
Bacteriastrum delicatulum
Bacteriastrum elegans
Bacteriastrum elongatum
Bacteriastrum furcatum
Bacteriastrum hyalinum
Bacteriastrum varians
Baculifera imshaugiana
Baeolidia moebii
Baeolidia nodosa
Baeolophus wollweberi
Bagre panamensis
Bagre pinnimaculatus
Bahiopsis chenopodina
Bahiopsis deltoidea
Bahiopsis parishii
Bahiopsis tomentosa
Bailya anomala
Bairdiella icistia
Bajacalia crassifolia
Bajacalia tridentata
Bajaeolis bertschi
Balaenoptera acutorostrata
Balaenoptera brydei
Balaenoptera edeni
Balaenoptera musculus
Balaenoptera physalus
Balantiopteryx plicata plicata
Balanus concavus
Balanus regalis
Balanus trigonus
Balechina coerulea
Balistes naufragium
Balistes polylepis
Balistes verres
Bankia cieba
Barbarofusus barbarensis
Barbatia (Cucullaearca) reeveana
Barbatia (Ustularca) lurida
Barbatia gradata
Barbatia illota
Barbatia lurida
Barbatia reeveana
Barbulifer mexicanus
Barbulifer pantherinus
Barentsia discreta
Barentsia ramosa
Barleeia alderi
Barleeia bifasciata
Barleeia subtenuis
Barleria oenotheroides
Barnea (Anchomasa) subtruncata
Bascanichthys bascanoides
Bascanichthys peninsulae
Baseodiscus mexicanus
Basileuterus culicivorus
Basileuterus lachrymosus
Basileuterus rufifrons
Basilinna leucotis
Basilinna xantusii
Basiliscus vittatus
Bassariscus astutus
Bassariscus astutus raptor
Bassariscus astutus saxicola
Basterotia obliqua
Basterotia panamica
Basterotia peninsularis
Basterotia quadrata
Basterotina rectangularis
Batheulima chathamensis
Bathophilus filifer
Bathophilus flemingi
Bathycellaria profundis
Bathycoccus prasinos
Bathycongrus macrurus
Bathycongrus varidens
Bathygobius ramosus
Bathygobius ramosus longipinnis
Bathygobius soporator
Bathylagoides nigrigenys
Bathylagoides wesethi
Bathylagus longiceps
Bathylagus nigrigenys
Bathylagus stilbius
Bathylagus wesethi
Bathymargarites symplector
Bathyplotes velerones
Bathyraja trachura
Bathyrhombila furcata
Batis maritima
Battarrea digueti
Battarreoides diguetii
Battus laodamas
Battus philenor
Battus philenor philenor
Battus polydamas
Battus polydamas polydamas
Bauhinia divaricata
Beania mirabilis
Bebbia atriplicifolia
Bebbia juncea
Begonia palmeri
Bejaria aestuans
Bejaria mexicana
Belknapchiton alveolus
Bellascintilla parmaleeana
Bellator gymnostethus
Bellator loxias
Bellator xenisma
Bellerochea malleus
Bellerochea polymorpha
Belone persimilis
Bembix magdalenae
Benedenia adenea
Benedenia girellae
Benedenia jaliscana
Benthosema panamense
Berardius bairdii
Bergia texana
Berkeleya hyalina
Berkeleya rutilans
Berkeleya scopulorum
Bernardia mexicana
Bernardia viridis
Bernardina margarita
Beroe forskalii
Berthelinia chloris
